atom_type,atom_value,first_seen,last_updated,subcategories,threat_scores,threat_types
fqdn,i.ua-passport.space,2022-02-25T13:58:32Z,2022-03-12T00:22:38Z,"['Attack Pattern:Group Policy Modification - T1484.001', 'Attack Pattern:Data Destruction - T1485', 'Attack Pattern:Disk Structure Wipe - T1561.002', 'Attack Pattern:Signed Binary Proxy Execution - T1218', 'Attack Pattern:Inhibit System Recovery - T1490']","[38, 15]","['malware', 'phishing']"
fqdn,ienaike.ru,2022-02-04T10:43:15Z,2022-03-09T10:43:15Z,['Intrusion Set:Gamaredon Group - G0047'],[15],['malware']
fqdn,koete.ru,2022-02-04T10:43:21Z,2022-03-09T10:43:21Z,['Intrusion Set:Gamaredon Group - G0047'],[15],['malware']
fqdn,libasti.ru,2022-02-04T10:43:31Z,2022-03-09T10:43:31Z,['Intrusion Set:Gamaredon Group - G0047'],[15],['malware']
fqdn,nerabis.ru,2022-02-04T10:43:39Z,2022-03-09T10:43:39Z,['Intrusion Set:Gamaredon Group - G0047'],[15],['malware']
fqdn,pertolka.ru,2022-02-04T10:43:51Z,2022-03-09T10:43:51Z,['Intrusion Set:Gamaredon Group - G0047'],[15],['malware']
fqdn,scorpiones.ru,2022-02-04T10:43:56Z,2022-03-09T10:43:56Z,['Intrusion Set:Gamaredon Group - G0047'],[15],['malware']
fqdn,simfopar.ru,2022-02-04T10:43:54Z,2022-03-09T10:43:54Z,['Intrusion Set:Gamaredon Group - G0047'],[15],['malware']
fqdn,tagdesam.ru,2022-02-04T10:44:15Z,2022-03-09T10:44:15Z,['Intrusion Set:Gamaredon Group - G0047'],[15],['malware']
fqdn,tsuzuketa.ru,2022-02-04T10:44:34Z,2022-03-09T10:44:34Z,['Intrusion Set:Gamaredon Group - G0047'],[15],['malware']
fqdn,zeinar.ru,2022-02-04T10:44:14Z,2022-03-09T10:44:14Z,['Intrusion Set:Gamaredon Group - G0047'],[15],['malware']
ip,100.24.71.221,2022-03-10T00:00:00Z,2022-03-10T00:00:00Z,[],[80],['hack']
ip,102.135.142.20,2022-02-25T08:03:54Z,2022-03-07T16:05:53Z,[],[12],['hack']
ip,104.152.52.251,2022-02-23T21:33:01Z,2022-03-05T10:49:54Z,[],"[20, 12, 0, 20, 0]","['malware', 'hack', 'fraud', 'scan', 'ddos']"
ip,104.210.60.82,2019-02-04T21:48:28Z,2022-03-12T19:01:40Z,['Malware:Mirai'],"[40, 51, 59, 27]","['hack', 'malware', 'scan', 'ddos']"
ip,104.238.189.186,2022-02-04T04:22:22Z,2022-03-02T13:18:50Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147', 'Malware:WhisperGate', 'Malware:August Stealer', 'Malware:WildFire']","[1, 1, 4, 18]","['scan', 'hack', 'phishing', 'malware']"
ip,107.22.158.95,2022-03-07T00:00:00Z,2022-03-12T00:00:00Z,[],[24],['hack']
ip,109.182.42.206,2022-02-25T08:03:54Z,2022-03-04T17:57:43Z,[],[12],['hack']
ip,109.200.159.45,2022-02-04T04:22:22Z,2022-02-21T16:11:30Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147']","[3, 18, 20, 3]","['hack', 'phishing', 'malware', 'scan']"
ip,109.201.34.230,2020-01-14T00:00:00Z,2022-01-24T18:09:10Z,[],"[2, 1, 1]","['hack', 'malware', 'scan']"
ip,114.104.187.63,2022-02-25T08:03:54Z,2022-03-06T08:20:02Z,[],"[12, 17]","['hack', 'scan']"
ip,114.97.242.164,2022-02-25T00:00:00Z,2022-03-08T23:57:43Z,[],[12],['hack']
ip,120.4.176.50,2022-03-07T00:00:00Z,2022-03-12T00:00:00Z,[],[24],['hack']
ip,124.31.48.7,2022-02-25T08:03:54Z,2022-03-04T17:57:43Z,[],[12],['hack']
ip,125.165.106.195,2022-02-25T08:03:54Z,2022-03-04T17:57:44Z,[],[12],['hack']
ip,128.199.201.20,2022-03-05T00:00:00Z,2022-03-11T20:21:04Z,[],[32],['hack']
ip,143.110.217.154,2022-02-28T00:00:00Z,2022-03-07T23:57:45Z,[],[13],['hack']
ip,151.248.117.250,2022-01-05T00:00:00Z,2022-02-20T04:11:30Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147']","[3, 19, 18, 3]","['hack', 'malware', 'phishing', 'scan']"
ip,161.35.60.104,2020-07-06T05:30:52Z,2022-03-05T23:57:46Z,[],"[19, 1, 1]","['hack', 'scan', 'ddos']"
ip,167.71.239.23,2021-06-27T00:00:00Z,2022-03-07T23:57:46Z,[],[13],['hack']
ip,176.36.43.143,2018-12-25T00:00:00Z,2022-03-04T17:57:44Z,[],[13],['hack']
ip,178.69.117.29,2022-02-28T00:00:00Z,2022-03-07T23:57:45Z,[],[13],['hack']
ip,18.206.150.90,2022-03-07T00:00:00Z,2022-03-12T00:00:00Z,[],[24],['hack']
ip,18.210.28.27,2022-03-07T00:00:00Z,2022-03-12T00:00:00Z,[],[24],['hack']
ip,18.232.35.33,2022-03-09T00:00:00Z,2022-03-12T12:00:00Z,[],[58],['hack']
ip,18.234.88.250,2021-12-29T00:00:00Z,2022-01-14T00:00:00Z,[],[2],['hack']
ip,185.193.127.179,2022-03-02T23:07:27Z,2022-03-02T23:07:27Z,[],"[50, 50]","['hack', 'scan']"
ip,185.193.143.11,2022-02-04T04:22:22Z,2022-02-21T16:11:30Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147']","[18, 20, 3, 3]","['phishing', 'malware', 'hack', 'scan']"
ip,185.20.226.9,2020-07-08T11:34:41Z,2022-03-04T16:11:30Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147']","[1, 5, 1, 1]","['hack', 'malware', 'phishing', 'scan']"
ip,185.213.155.176,2020-04-29T06:41:59Z,2022-03-07T23:57:46Z,[],"[0, 0, 0, 11, 0, 1, 0, 1]","['phishing', 'fraud', 'spam', 'hack', 'malware', 'ddos', 'leak', 'scan']"
ip,185.46.10.73,2022-02-04T04:22:22Z,2022-02-21T16:11:30Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147']","[18, 3, 3, 20]","['phishing', 'scan', 'hack', 'malware']"
ip,190.73.98.70,2022-03-01T23:57:43Z,2022-03-08T23:57:43Z,[],[12],['hack']
ip,194.67.110.89,2021-10-07T15:27:42Z,2022-03-04T16:11:30Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147']","[1, 5, 1, 1]","['hack', 'malware', 'phishing', 'scan']"
ip,194.67.116.180,2022-02-04T04:22:22Z,2022-02-21T16:11:30Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147']","[18, 3, 20, 3]","['phishing', 'scan', 'malware', 'hack']"
ip,194.67.86.169,2014-03-03T12:20:56Z,2022-02-21T16:11:30Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147']","[18, 3, 3, 17]","['phishing', 'scan', 'hack', 'malware']"
ip,194.87.216.22,2022-03-06T00:00:00Z,2022-03-11T07:33:44Z,[],[20],['hack']
ip,195.140.146.128,2021-12-04T00:00:00Z,2022-03-04T16:11:30Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147', 'OCD - Threat pattern:Command and Control [C2]']","[3, 8, 1, 1]","['hack', 'malware', 'phishing', 'scan']"
ip,195.62.53.63,2019-06-10T09:22:37Z,2022-02-21T16:11:30Z,"['Malware:Pteranodon - S0147', 'Intrusion Set:Gamaredon Group - G0047']","[17, 0, 15, 2, 2]","['malware', 'ddos', 'phishing', 'hack', 'scan']"
ip,201.219.103.184,2022-02-25T08:03:54Z,2022-03-04T17:57:44Z,[],[12],['hack']
ip,218.102.90.173,2022-02-27T00:00:00Z,2022-03-08T23:57:43Z,[],[12],['hack']
ip,219.134.151.40,2022-02-28T00:00:00Z,2022-03-08T23:57:42Z,[],[12],['hack']
ip,219.79.104.233,2021-05-07T00:00:00Z,2022-03-08T23:57:43Z,[],[12],['hack']
ip,3.233.232.56,2020-04-25T14:57:30Z,2022-03-10T00:00:00Z,[],"[80, 0]","['hack', 'spam']"
ip,3.235.7.90,2022-03-08T00:00:00Z,2022-03-12T00:00:00Z,[],[40],['hack']
ip,3.236.146.154,2022-03-03T00:00:00Z,2022-03-10T00:00:00Z,[],[12],['hack']
ip,3.236.223.52,2021-12-02T00:00:00Z,2021-12-18T00:00:00Z,[],[2],['hack']
ip,3.237.31.184,2022-02-21T00:00:00Z,2022-03-09T00:00:00Z,[],[2],['hack']
ip,3.238.129.76,2022-02-25T00:00:00Z,2022-03-04T23:57:44Z,[],[12],['hack']
ip,3.239.107.29,2022-03-04T00:00:00Z,2022-03-11T00:00:00Z,[],[12],['hack']
ip,3.82.155.38,2022-03-12T00:00:00Z,2022-03-12T00:00:00Z,[],[80],['hack']
ip,3.85.117.100,2022-03-11T00:00:00Z,2022-03-11T00:00:00Z,[],[80],['hack']
ip,3.90.237.132,2022-03-08T00:00:00Z,2022-03-12T00:00:00Z,[],[40],['hack']
ip,3.95.169.35,2022-02-26T00:00:00Z,2022-03-05T23:57:46Z,[],[12],['hack']
ip,31.131.193.242,2022-03-03T00:00:00Z,2022-03-10T00:00:00Z,[],[12],['hack']
ip,31.7.102.7,2022-02-25T08:03:54Z,2022-03-04T17:57:44Z,[],[12],['hack']
ip,34.140.138.142,2022-03-06T00:00:00Z,2022-03-11T00:00:00Z,[],"[0, 0, 24]","['malware', 'phishing', 'hack']"
ip,34.204.166.101,2022-03-04T00:00:00Z,2022-03-11T00:00:00Z,[],[12],['hack']
ip,34.204.203.90,2021-10-27T00:00:00Z,2022-03-05T11:57:41Z,[],"[0, 0, 12]","['malware', 'phishing', 'hack']"
ip,34.207.141.182,2022-03-09T00:00:00Z,2022-03-12T12:00:00Z,[],[58],['hack']
ip,34.207.243.42,2022-03-12T00:00:00Z,2022-03-12T00:00:00Z,[],[80],['hack']
ip,34.227.105.27,2022-03-04T00:00:00Z,2022-03-11T00:00:00Z,[],[12],['hack']
ip,34.230.31.136,2022-02-28T00:00:00Z,2022-03-07T23:57:45Z,[],[12],['hack']
ip,35.153.17.23,2022-03-06T00:00:00Z,2022-03-11T00:00:00Z,[],"[24, 8, 8]","['hack', 'phishing', 'malware']"
ip,35.173.139.78,2022-03-01T00:00:00Z,2022-03-08T23:57:42Z,[],[12],['hack']
ip,44.192.77.17,2022-02-26T00:00:00Z,2022-03-05T11:57:40Z,[],"[8, 8, 12]","['phishing', 'malware', 'hack']"
ip,44.200.226.136,2022-02-27T00:00:00Z,2022-03-07T23:57:45Z,[],[12],['hack']
ip,44.201.226.29,2022-02-28T00:00:00Z,2022-03-08T05:57:45Z,[],[12],['hack']
ip,44.201.73.55,2022-02-26T00:00:00Z,2022-03-07T23:57:45Z,[],[12],['hack']
ip,45.10.245.93,2022-03-11T00:00:00Z,2022-03-11T12:21:59Z,[],[65],['hack']
ip,45.172.153.157,2022-02-25T08:03:54Z,2022-03-10T00:01:33Z,[],"[20, 20, 14]","['malware', 'scan', 'hack']"
ip,46.72.178.101,2019-03-16T00:00:00Z,2022-01-29T04:27:00Z,[],"[2, 0]","['hack', 'scan']"
ip,47.254.64.201,2022-02-26T00:00:00Z,2022-03-08T23:57:43Z,[],[12],['hack']
ip,47.89.194.131,2022-02-26T00:00:00Z,2022-03-07T23:57:45Z,[],[13],['hack']
ip,51.15.137.85,2022-03-07T00:00:00Z,2022-03-12T18:11:21Z,[],[19],['hack']
ip,52.204.192.36,2022-03-08T00:00:00Z,2022-03-12T00:00:00Z,[],[40],['hack']
ip,54.197.162.155,2022-03-08T00:00:00Z,2022-03-12T00:00:00Z,[],[40],['hack']
ip,54.198.221.122,2022-03-02T00:00:00Z,2022-03-09T11:57:39Z,[],[12],['hack']
ip,54.237.249.245,2022-03-08T00:00:00Z,2022-03-12T00:00:00Z,[],[40],['hack']
ip,54.243.27.131,2022-02-28T00:00:00Z,2022-03-07T23:57:45Z,[],"[12, 8, 8]","['hack', 'malware', 'phishing']"
ip,54.83.120.229,2022-03-06T00:00:00Z,2022-03-11T00:00:00Z,[],[24],['hack']
ip,77.123.14.31,2020-02-03T15:56:02Z,2022-03-04T17:57:44Z,[],[11],['hack']
ip,8.210.150.125,2022-03-02T00:00:00Z,2022-03-07T10:34:24Z,[],[20],['hack']
ip,80.78.248.222,2021-10-06T16:58:42Z,2022-02-19T16:11:30Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147']","[20, 3, 3, 20]","['phishing', 'scan', 'hack', 'malware']"
ip,80.78.251.231,2022-01-19T07:39:54Z,2022-03-02T16:11:30Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147']","[1, 5, 5, 1]","['hack', 'malware', 'phishing', 'scan']"
ip,80.95.44.213,2017-11-30T00:00:00Z,2022-03-07T23:57:46Z,[],[12],['hack']
ip,83.166.242.108,2019-12-06T11:43:03Z,2022-02-21T16:11:30Z,"['Malware:Pteranodon - S0147', 'Intrusion Set:Gamaredon Group - G0047']","[18, 0, 0, 3, 3, 19]","['phishing', 'ddos', 'spam', 'hack', 'scan', 'malware']"
ip,84.17.55.23,2020-07-22T01:50:18Z,2021-01-19T02:06:52Z,[],"[2, 1, 1, 1, 1]","['hack', 'malware', 'phishing', 'scan', 'spam']"
ip,89.108.79.91,2021-11-03T09:25:05Z,2022-03-02T16:11:30Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147']","[1, 4, 5, 1]","['hack', 'malware', 'phishing', 'scan']"
ip,91.240.118.137,2022-02-25T08:03:54Z,2022-03-04T17:57:44Z,[],[12],['hack']
ip,92.223.103.179,2022-02-25T08:03:54Z,2022-03-09T00:02:32Z,[],"[12, 12, 12]","['hack', 'malware', 'phishing']"
ip,95.211.175.153,2022-02-25T08:03:54Z,2022-03-04T17:57:43Z,[],[12],['hack']
ip,95.72.229.228,2022-02-25T08:03:54Z,2022-03-04T17:57:44Z,[],[12],['hack']
ip,95.72.70.21,2022-02-11T04:27:17Z,2022-03-04T17:57:44Z,[],[13],['hack']
url,https://5.182.211.5/rip.sh,2022-02-21T07:19:35Z,2022-03-10T14:39:18Z,['Malware:WhisperGate'],"[25, 43]","['phishing', 'malware']"
